Potential New Product List;;;;;;;;;;;;;;;;;;;;
Product Type;Product #;Brand Name;Price;5 Star Reviews;4 Star Reviews;3 Star Reviews;2 Star Reviews;1 Star Reviews;Positive Service Review;Negative Service Review;Would consumer recommend product;Best Sellers Rank;Shipping Weight (lbs);Product Depth;Product Width;Product Height;Shipment;Profit margin;Sales Volume;Profit (volume x profit margin x price) 
Tablet;186;Apple;$629,00;296;66;30;21;36;28;9;0,8;34;3;7,31;9,5;0,37;Inventory;0,1;1417;89.129,300
Tablet;187;Amazon;$199,00;943;437;224;160;247;90;23;0,8;1;0,9;5,4;7,6;0,4;Dropship;0,2;1575;62.685,000
PC;171;Dell;$699,00;96;26;14;14;25;12;3;0,7;2498;19,9;20,63;19,25;8,39;Dropship;0,25;273;47.706,750
Game Console;199;Sony;$249,99;462;97;25;17;58;32;12;0,8;115;8,4;6,2;13,2;13,2;Inventory;0,09;1471;33.096,176
Netbook;180;Acer;$329,00;312;112;28;31;47;28;16;0,7;2699;4,6;10,17;7,28;0,95;Inventory;0,09;795;23.539,950
Laptop;176;Razer;$1.999,00;1;1;1;3;0;0;1;0,3;2820;11,6;16,81;10,9;0,88;Dropship;0,23;39;17.931,030
PC;172;Dell;$860,00;51;11;10;10;21;7;5;0,6;490;27;21,89;27,01;9,13;Dropship;0,2;85;14.620,000
Netbook;181;Asus;$439,00;23;18;7;22;18;5;16;0,4;1704;4,8;8;11,7;1,5;Dropship;0,11;274;13.231,460
Laptop;173;Apple;$1.199,00;74;10;3;3;11;11;5;0,8;111;6,6;8,94;12,8;0,68;Inventory;0,1;77;9.232,300
Laptop;175;Toshiba;$1.199,00;7;2;1;1;1;2;1;0,6;4446;13;16,3;10,8;1,4;Inventory;0,15;28;5.035,800
Smartphone;194;Samsung;$49,00;100;26;37;33;48;14;6;0,6;16966;0,7;2,67;5,33;0,37;Inventory;0,12;792;4.656,960
Smartphone;196;Motorola;$300,00;50;19;13;20;22;5;7;0,6;44465;0,9;2,6;5;0,4;Inventory;0,11;123;4.059,000
Smartphone;193;Motorola;$199,00;99;26;12;16;35;8;6;0,4;1277;0,9;2,7;5,2;0,4;Inventory;0,11;181;3.962,090
Netbook;178;HP;$399,99;19;8;4;1;10;2;4;0,6;4140;5,8;8,43;11,42;1,2;Inventory;0,08;55;1.759,956
Netbook;183;Samsung;$330,00;3;4;0;1;0;1;0;0,7;5128;4,3;7,4;10,4;0,97;Inventory;0,09;39;1.158,300
Smartphone;195;HTC;$149,00;42;8;4;4;9;4;1;0,7;6316;0,8;2,7;5,3;0,4;Dropship;0,15;39;871,650
Monitor;201;Asus;$140,00;4;0;0;0;2;1;1;0,7;324;8,9;13,6;17,6;7,3;Inventory;0,05;17;119,000
